YearMonth,NFT_name,QuantitySold,Max_USD_Price,NFT_rank
2017/06,"CryptoPunk #1886",2,670.8555,1
2017/07,"CryptoPunk #1519",3,175.5347,1
2017/08,"CryptoPunk #6486",2,980.64,1
2017/09,"CryptoPunk #5092",1,176.53,1
2017/10,"CryptoPunk #8146",1,115.2882,1
2017/11,"CryptoPunk #2766",1,267.588,1
2017/12,"CryptoPunk #2061",2,56.98,1
2018/01,"CryptoPunk #8325",2,489.8481,1
2018/02,"CryptoPunk #3511",2,262.5175,1
2018/03,"CryptoPunk #4417",1,11533.05,1
2018/04,"CryptoPunk #2560",1,907.664,1
2018/05,"CryptoPunk #9576",2,102.735,1
2018/06,"CryptoPunk #9539",1,416.4564,1
2018/06,"CryptoPunk #7407",1,416.4564,1
2018/07,"CryptoPunk #2217",1,129.47275,1
2018/08,"CryptoPunk #9776",2,40.896,1
2018/09,"CryptoPunk #4156",1,724.4251,1
2018/10,"CryptoPunk #6704",1,1152,1
2018/11,"CryptoPunk #2338",1,508.27,1
2018/12,"CryptoPunk #5445",2,20.4746,1
2019/01,"CryptoPunk #7756",1,536.6691,1
2019/02,"CryptoPunk #3269",2,42.3202,1
2019/03,"CryptoPunk #3732",2,81.45801,1
2019/03,"CryptoPunk #8237",2,81.45801,1
2019/04,"CryptoPunk #1",1,5148.17,1
2019/05,"CryptoPunk #7423",2,196.71,1
2019/06,"CryptoPunk #2441",2,320.96,1
2019/07,"CryptoPunk #3355",2,76.7515,1
2019/08,"CryptoPunk #8713",1,237.0265,1
2019/09,"CryptoPunk #2326",2,189.6864,1
2019/10,"CryptoPunk #4904",1,166.3054,1
2019/11,"CryptoPunk #6480",2,91.81,1
2019/12,"CryptoPunk #9468",2,65.54,1
2020/01,"CryptoPunk #6786",4,305.172,1
2020/02,"CryptoPunk #2043",2,134.016,1
2020/03,"CryptoPunk #7750",2,104.2125,1
2020/04,"CryptoPunk #3201",2,358.785,1
2020/05,"CryptoPunk #6462",3,371.6095,1
2020/06,"CryptoPunk #3159",2,315.6582,1
2020/07,"CryptoPunk #9040",2,295.8795,1
2020/08,"CryptoPunk #9047",2,421.586,1
2020/09,W#4808,8,2231.566,1
2020/10,W#5287,6,2127.235,1
2020/11,"CryptoPunk #3711",2,2740.14,1
2020/12,"CryptoPunk #7777",3,6267.1,1
2021/01,"CryptoPunk #6788",4,9277.002,1
2021/02,"CryptoPunk #8394",5,48947.5,1
2021/03,"CryptoPunk #9438",4,75853.68,1
2021/04,"CryptoPunk #1791",6,55621.0805,1
2021/05,"CryptoPunk #4335",4,104540.7,1
2021/06,"CryptoPunk #8924",4,50871.4,1
2021/07,"CryptoPunk #9200",6,46249.974,1
2021/08,"CryptoPunk #8970",8,306144.1604,1
2021/09,"CryptoPunk #3239",4,395168,1
2021/10,"CryptoPunk #5183",5,432180.84,1
2021/11,"CryptoPunk #4979",3,447941.325,1
2021/12,"CryptoPunk #197",4,316017.8,1
2022/01,"CryptoPunk #8922",4,249734.5314,1
