YearMonth,Total_volume
"2017 / 06",200
"2017 / 07",600
"2017 / 08",100
"2017 / 09",100
"2017 / 10",100
"2017 / 11",100
"2017 / 12",200
"2018 / 01",200
"2018 / 02",0
"2018 / 03",0
"2018 / 04",100
"2018 / 05",100
"2018 / 06",100
"2018 / 07",0
"2018 / 08",0
"2018 / 09",0
"2018 / 10",100
"2018 / 11",100
"2018 / 12",100
"2019 / 01",100
"2019 / 02",0
"2019 / 03",100
"2019 / 04",100
"2019 / 05",200
"2019 / 06",200
"2019 / 07",100
"2019 / 08",100
"2019 / 09",100
"2019 / 10",0
"2019 / 11",100
"2019 / 12",100
"2020 / 01",400
"2020 / 02",100
"2020 / 03",0
"2020 / 04",100
"2020 / 05",600
"2020 / 06",100
"2020 / 07",100
"2020 / 08",100
"2020 / 09",2100
"2020 / 10",500
"2020 / 11",100
"2020 / 12",200
"2021 / 01",500
"2021 / 02",2100
"2021 / 03",1500
"2021 / 04",1300
"2021 / 05",800
"2021 / 06",400
"2021 / 07",1400
"2021 / 08",2700
"2021 / 09",500
"2021 / 10",300
"2021 / 11",300
"2021 / 12",500
"2022 / 01",100
