NFTnames,average_price
"CryptoPunk #6275",4568499.57
"CryptoPunk #7252",3912288
"CryptoPunk #7804",3770655
"CryptoPunk #3100",3770655
"CryptoPunk #8857",3210128.425
"CryptoPunk #5217",2682329.375
"CryptoPunk #4156",2461361.88502
"CryptoPunk #2140",1922240.8333333333
"CryptoPunk #9129",1862201.43
"CryptoPunk #6817",1559035.2
"CryptoPunk #4220",1524901.5
"CryptoPunk #364",1519617.6
"CryptoPunk #810",1496497.79
"CryptoPunk #8888",1479468.4475
"CryptoPunk #2066",1474460
"CryptoPunk #2681",1258132.4033333336
"CryptoPunk #9137",1226965.4
"CryptoPunk #5902",1175774.075
"CryptoPunk #9100",1146362
"CryptoPunk #561",1125997.8966666667
"CryptoPunk #1182",1117250
"CryptoPunk #2338",1061524.139975
"CryptoPunk #6578",1025706.5
"CryptoPunk #9373",1002495.2735
"CryptoPunk #4992",998927.0435
"CryptoPunk #1177",990376.2
"CryptoPunk #8472",947477.65
"CryptoPunk #2020",917089.6
"CryptoPunk #8420",897678.22555
"CryptoPunk #3393",883380
"CryptoPunk #5473",875180.7
"CryptoPunk #8779",810352.5
"CryptoPunk #8359",805550.13
"CryptoPunk #6297",785425.9280000001
"CryptoPunk #9052",784091.62
"CryptoPunk #8805",783998.6564999999
"CryptoPunk #2180",783503.4
"CryptoPunk #9778",766797
"CryptoPunk #9952",759934.7755
"CryptoPunk #2964",733634.3999999999
"CryptoPunk #1559",728424.4
"CryptoPunk #7144",713110.2
"CryptoPunk #387",702922.5
"CryptoPunk #6947",701827.87075
"CryptoPunk #1422",688722.9958333333
"CryptoPunk #3322",677181
"CryptoPunk #8898",666048.6599999999
"CryptoPunk #6255",664552
"CryptoPunk #2548",662691.3
"CryptoPunk #4626",652431.01
"CryptoPunk #6634",651154.5
"CryptoPunk #6054",649598
"CryptoPunk #8305",648442.3333333334
"CryptoPunk #4396",647206.72
"CryptoPunk #2165",646531.5
"CryptoPunk #8473",645066.0265
"CryptoPunk #2306",643461.73
"CryptoPunk #9612",640260.7733333333
"CryptoPunk #4901",632290.15275
"CryptoPunk #9953",631453.8976666667
"CryptoPunk #7674",623136.4655
"CryptoPunk #3468",622543.0833333334
"CryptoPunk #3011",611086.3175
"CryptoPunk #4613",607366.075
"CryptoPunk #7357",606628.8
"CryptoPunk #800",604450.9818
"CryptoPunk #684",601656
"CryptoPunk #3609",600340.7849999999
"CryptoPunk #5362",599282.9375
"CryptoPunk #8295",597067.5628333333
"CryptoPunk #7372",588245.32
"CryptoPunk #1328",586258.125
"CryptoPunk #5315",582575.7856666667
"CryptoPunk #8079",582552.0675
"CryptoPunk #3432",581483
"CryptoPunk #9121",581337.1
"CryptoPunk #1698",578506.6
"CryptoPunk #2555",578284.7
"CryptoPunk #6352",573181
"CryptoPunk #4503",566528.4
"CryptoPunk #9031",566271.66975
"CryptoPunk #7294",565466.25
"CryptoPunk #7479",563429.9450000001
"CryptoPunk #1119",556990.0232
"CryptoPunk #1615",556853.455675
"CryptoPunk #621",555220.9
"CryptoPunk #5361",555117.5
"CryptoPunk #5736",554904.7144
"CryptoPunk #4894",551982.6514999999
"CryptoPunk #6566",551807.4025000001
"CryptoPunk #9418",549283.52
"CryptoPunk #5234",548940
"CryptoPunk #6721",546610.2866666667
"CryptoPunk #6043",545909.3536
"CryptoPunk #3022",545633.875
"CryptoPunk #6487",542639.75
"CryptoPunk #707",542187.2
"CryptoPunk #4506",542053.6
"CryptoPunk #536",541315.47
"CryptoPunk #2014",541258.016
"CryptoPunk #6541",540693.75
"CryptoPunk #6348",540427.8
"CryptoPunk #8842",537725.3
"CryptoPunk #2060",536245.8469
"CryptoPunk #1499",536119.703
"CryptoPunk #2279",535873.5
"CryptoPunk #3233",532756.07265
"CryptoPunk #3740",529011.55855
"CryptoPunk #6649",528595.1421666666
"CryptoPunk #7239",526953.1035
"CryptoPunk #9848",523043.164625
"CryptoPunk #2829",522839.58999999997
"CryptoPunk #6852",515862.9
"CryptoPunk #9443",515616.43000000005
"CryptoPunk #4284",513236
"CryptoPunk #2325",511453.595
"CryptoPunk #9308",508343.265
"CryptoPunk #9808",503282.43
"CryptoPunk #4760",501632
"CryptoPunk #8865",499890.5
"CryptoPunk #8930",497701.0975
"CryptoPunk #5767",496974.345
"CryptoPunk #8471",496599.4
"CryptoPunk #3792",491298
"CryptoPunk #2393",491298
