NFT_name,price,status
CryptoPunk #0,0,Highest
CryptoPunk #0,0,Lowest
CryptoPunk #1,34614,Highest
CryptoPunk #1,0,Lowest
CryptoPunk #1000,487198.5,Highest
CryptoPunk #1000,555.375,Lowest
CryptoPunk #1001,573181,Highest
CryptoPunk #1001,27951.63285,Lowest
CryptoPunk #1002,34763.0745,Highest
CryptoPunk #1002,34763.0745,Lowest
CryptoPunk #1003,40367.36,Highest
CryptoPunk #1003,34581.14,Lowest
CryptoPunk #1004,461214.58,Highest
CryptoPunk #1004,461214.58,Lowest
CryptoPunk #1005,74608.8,Highest
CryptoPunk #1005,47156.1,Lowest
CryptoPunk #1006,59198.7407,Highest
CryptoPunk #1006,34581.14,Lowest
CryptoPunk #1007,279902.2,Highest
CryptoPunk #1007,55893.88,Lowest
CryptoPunk #1009,481080.6,Highest
CryptoPunk #1009,164680.1,Lowest
CryptoPunk #1010,174616.5,Highest
CryptoPunk #1010,27249.3,Lowest
CryptoPunk #1011,405648.382,Highest
CryptoPunk #1011,28814.13,Lowest
CryptoPunk #1012,77.1429,Highest
CryptoPunk #1012,77.1429,Lowest
CryptoPunk #1013,509524.87,Highest
CryptoPunk #1013,67835.2572,Lowest
CryptoPunk #1014,324141,Highest
CryptoPunk #1014,129.0624,Lowest
CryptoPunk #1015,95989.6028,Highest
CryptoPunk #1015,73542.8314,Lowest
CryptoPunk #1027,949810.0468,Highest
CryptoPunk #1027,277.2,Lowest
CryptoPunk #1029,356681.71,Highest
CryptoPunk #1029,52.875,Lowest
CryptoPunk #1030,83632.56,Highest
CryptoPunk #1030,72.1,Lowest
CryptoPunk #1032,33468.58,Highest
CryptoPunk #1032,33468.58,Lowest
CryptoPunk #1035,14375.7075,Highest
CryptoPunk #1035,14375.7075,Lowest
CryptoPunk #1036,198.61,Highest
CryptoPunk #1036,45.675,Lowest
CryptoPunk #1041,62100.27,Highest
CryptoPunk #1041,47322.85,Lowest
CryptoPunk #1042,82800.36,Highest
CryptoPunk #1042,82800.36,Lowest
CryptoPunk #1043,430258.9184,Highest
CryptoPunk #1043,282213.66,Lowest
CryptoPunk #1044,49736.735,Highest
